class,tweet,CoNLL
-1,i think dat  called me a niggerwhat do move away from da dark side mean?,1	ithinkdatcalledmeaniggerwhatdomoveawayfromdadarksidemeans	_	L	L	_	0	_	_	_
-1,don't mind black people.....hate niggers,"1	donutmindblackpeople	_	N	N	_	3	_	_	_
2	.....	_	,	,	_	-1	_	_	_
3	hateniggers	_	N	N	_	0	_	_	_"
-1,ankles   hood bitches with long weave is the worst thing ever weave that be touching their ashy ankles ,1	ankleshoodbitcheswithlongweaveistheworstthingeverweavethatbetouchingtheirashyankles	_	N	N	_	0	_	_	_
-1,  you a hoe if you give your number to another nigga while you got a man,1	youahoeifyougiveyournumbertoanotherniggawhileyougotaman	_	!	!	_	0	_	_	_
1,  i need a real bitch ,1	ineedarealbitch	_	!	!	_	0	_	_	_
-1,  rudy gay a faggot for not changing his last name once he got money.,1	rudygayafaggotfornotchanginghislastnameoncehegotmoney	_	!	!	_	0	_	_	_
-1,jai may make an appearance at the party... love that fag,"1	jaimaymakeanappearanceattheparty	_	G	G	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	lovethatfag	_	!	!	_	0	_	_	_"
1,these bitches funny like mike epps,1	thesebitchesfunnylikemikeepps	_	^	^	_	-1	_	_	_
-1, you look like a welfare bitch compared to latinas i date and fuck. you need fashion and makeup tips tbh,1	youlooklikeawelfarebitchcomparedtolatinasidateandfuckyouneedfashionandmakeuptipstbh	_	!	!	_	0	_	_	_
-1, alright fag what about this? ,1	alrightfagwhataboutthis	_	G	G	_	-1	_	_	_
1,so much for ucla being the team to beat they are trash,1	somuchforuclabeingtheteamtobeattheyaretrash	_	!	!	_	0	_	_	_
-1, youre a fag,1	youreafag	_	!	!	_	0	_	_	_
-1," i see a picture of you smoking, such a man of god. disgraceful nig, you sir, are an embarrassment.",1	iseeapictureofyousmokingsuchamanofgoddisgracefulnighyousirareanembarrassment	_	!	!	_	0	_	_	_
-1,i wonder if that latino strategy is working? goper doubles down on wetbacks but backpedals on shoot on sight ,1	iwonderifthatlatinostrategyisworkinggopherdoublesdownonsetbacksbutbackpedalonshootonsight	_	!	!	_	0	_	_	_
-1,"lol, so since i'm from the south i automatically sound like a fucking redneck. hahahaha how about fuck you, stupid ass.",1	lolsosinceimfromthesouthiautomaticallysoundlikeafuckingredneckhahahahahowaboutfuckyoustupidass	_	!	!	_	0	_	_	_
-1, fuck miley tranny looking now damn ass nigga,1	fuckmileytrannylookingnowdamnassnigga	_	!	!	_	0	_	_	_
1,"   boy talk about a,special kind of stupid far left is a under statement down retarded",1	boytalkaboutspecialkindofstupidfarleftisaunderstatementdownretarded	_	!	!	_	0	_	_	_
1, nips,1	nips	_	N	N	_	0	_	_	_
1,my asshole credentials? even rednecks hate me.,1	myassholecredentialsevenredneckshateme	_	!	!	_	0	_	_	_
1,   my nigga really tried to save his bitch lol,1	myniggareallytriedtosavehisbitchlol	_	!	!	_	0	_	_	_
1,do y'all remember when twitter took away  verified check after chris brown broke up with her lmao stupid bitch,1	doyallrememberwhentwittertookawayverifiedcheckafterchrisbrownbrokeupwithherlmaostupidbitch	_	!	!	_	0	_	_	_
1,  hey you acting like a saint on twitter.. we think you're fucking weird you prude bitch.,1	heyyouactinglikeasaintontwitterwethinkyourefuckingweirdyouprudebitch	_	!	!	_	0	_	_	_
-1,*goes to olive garden**turns into a cracker* *goes black friday shopping**turns into a nigger*,1	goestoolivegarden**turnsintoacrackersgoesblackfridayshopping**turnsintoanigger	_	!	!	_	0	_	_	_
-1,"fuck you you pussy ass hater go suck a dick and die quick - someone, to me, in youtube comments. i think we'd be good friends.",1	fuckyouyoupussyasshatergosuckadickanddiequickpsomeonetomeinyoutubecommentsithinkweedbegoodfriends	_	!	!	_	0	_	_	_
1, jose is so fucking mean to me like damn bitch lol fuck you,1	joseissofuckingmeantomelikedamnbitchlolfuckyou	_	!	!	_	0	_	_	_
1,i want oreos who can help me,1	iwantoreoswhocanhelpme	_	L	L	_	0	_	_	_
-1,fuck ass redskin corners,1	fuckassredskincorners	_	!	!	_	0	_	_	_
1,  mama said no pussy cats inside my dog house,1	mamasaidnopussycatsinsidemydoghouse	_	!	!	_	0	_	_	_
1," kiss these nuts, bitch",1	kissthesenutsbitch	_	!	!	_	0	_	_	_
-1,or the teach might get u got   i really hate a disrespectful ass bitch in class. the professor is talking you stfu bitch.,1	ortheteachmightgetugotireallyhateadisrespectfulassbitchinclasstheprofessoristalkingyoustfubitch	_	!	!	_	0	_	_	_
-1,"  while the men will often be rambling and retarded, the women will appear trashy and tipsy, lawless and lustful ",1	whilethemenwilloftenberamblingandretardedthewomenwillappeartrashyandtipsylawlessandlustful	_	!	!	_	0	_	_	_
1,  i'm still gonna smack the fuck out them. they trying to act hard over twitter. haha pussy ass niggas,1	imstillgonnasmackthefuckoutthemtheytryingtoacthardovertwitterhahapussyassnigga	_	!	!	_	0	_	_	_
1, for all the bad bitches out there  go have some fun  ,1	forallthebadbitchesouttheregohavesomefun	_	!	!	_	0	_	_	_
1,if u eat fried eggs and leave the yolk entirely yellow ur a disgrace and also nasty,1	ifueatfriedeggsandleavetheyolkentirelyyellowuradisgraceandalsonasty	_	!	!	_	0	_	_	_
-1,  light beer? you mean faggot piss? -overly powered man,1	lightbeeryoumeanfaggotpissoverlypoweredman	_	!	!	_	0	_	_	_
1,bae sounds like such a ghetto word. use something else,1	baesoundslikesuchaghettowordsusesomethingelse	_	!	!	_	0	_	_	_
1,"  she play quarterback, and got a cheerleader girlfriend... yupp this hoe more of a man than i'll ever be. ","1	sheplayquarterbackandgotacheerleadergirlfriend	_	G	G	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	yupthishoemoreofamanthanilleverbe	_	!	!	_	0	_	_	_"
1,i love going to  and looking at guns with my wife. we talk about them in spanish as the rednecks stare at us and reconsider 2a.,1	ilovegoingtoandlookingatgunswithmywifewetalkabouttheminspanishastherednecksstareatusandreconsider2a	_	!	!	_	0	_	_	_
1,"i don't know what's more stressful, midterms or flappy birds.",1	idonutknowwhatsmorestressfulmidtermsorflappybirds	_	L	L	_	0	_	_	_
1,  on the low   they're really looking for the next bitch to smash,1	onthelowtheyrereallylookingforthenextbitchtosmash	_	!	!	_	0	_	_	_
1,"type a bitch make u take her on 10 dates, then she give u da pussya and the shit weak. damn.",1	typeabitchmakeutakeheron10datesthenshegiveudapussyandtheshitweakdamn	_	$	$	_	-1	_	_	_
1, bitch please ,1	bitchplease	_	!	!	_	0	_	_	_
1,"exes swear they can do better, then you see their next bitch ..... ","1	exessweartheycandobetterthenyouseetheirnextbitch	_	!	!	_	0	_	_	_
2	.....	_	,	,	_	-1	_	_	_"
-1,"i'm going to sell my iphone and both my macs, i don't support faggots.",1	imgoingtosellmyiphoneandbothmymacsidonutsupportfaggots	_	L	L	_	0	_	_	_
1, obispo ho. we'll do it big,1	obispohowwelldoitbig	_	!	!	_	0	_	_	_
1,  yeen suckin yeen fuckin watchu doin hoe ?,1	beensuckinbeenfuckinwatchdoinhoep	_	!	!	_	0	_	_	_
1,i hate those kids in your class that are always complaining and just being a bitch/douche to the teacher,1	ihatethosekidsinyourclassthatarealwayscomplainingandjustbeingabitch/douchetotheteacher	_	L	L	_	0	_	_	_
-1,   you need to accept the fact that you're both hipster faggots.,1	youneedtoacceptthefactthatyourebothhipsterfaggots	_	!	!	_	0	_	_	_
-1,"  neveraskablackperson if her hair is hers . she will hit you with a bitch i bought it , so it's mine .",1	neveraskablackpersonifherhairisherspshewillhityouwithabitchiboughtitpsoitsminep	_	!	!	_	0	_	_	_
-1,on upenn campus all the black chicks here are trash but they're gonna be paid,1	onupenncampusalltheblackchicksherearetrashbuttheyregonnabepaid	_	!	!	_	0	_	_	_
1,silly bitch shit never sleeps huh..,1	sillybitchshitneversleepshuh	_	!	!	_	0	_	_	_
-1,fuck mlk   why does lexii keep favoriting my coon tweets ? mlk didnt die for this,1	fuckmlkwhydoeslexikeepfavoringmycoontweetspmlkdidntdieforthis	_	G	G	_	-1	_	_	_
-1,"fuck that niggah he so weak, he cant tell that you a freak",1	fuckthatniggahesoweakhecanttellthatyouafreak	_	!	!	_	0	_	_	_
1,i swear i heard that bitch creak,1	isweariheardthatbitchcreak	_	!	!	_	0	_	_	_
1,i'm sticking with  theory that black pussy tastes like strawberry milk.,1	imstickingwiththeorythatblackpussytasteslikestrawberrymilk	_	L	L	_	0	_	_	_
1,"good day, honkies. ...i said good day ...honkies.","1	gooddayhokies	_	G	G	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	isaidgoodday	_	G	G	_	-1	_	_	_
4	...	_	,	,	_	-1	_	_	_
5	honkies	_	N	N	_	0	_	_	_
6	.	_	,	,	_	-1	_	_	_"
1,  when you see bae retweet or mention some hoe ,1	whenyouseebaeretweetormentionsomehoe	_	!	!	_	0	_	_	_
1,"  buzzfeed males who live in the city and buy meat under plastic, mock girls who use guns and go hunting. who is more manly?",1	buzzfeedmaleswholiveinthecityandbuymeatunderplasticmockgirlswhousegunsandgohuntingwhoismoremanly	_	!	!	_	0	_	_	_
-1,  lmaoo   that's a legal tackle faggot   seriously? ,1	lmaothatsalegaltacklefaggotseriously	_	!	!	_	0	_	_	_
1,im thinkin about using this beat and yeah i made it too bitch lol ,1	imthinkinaboutusingthisbeatandyeahimadeittoobitchlol	_	!	!	_	0	_	_	_
1, next year bitches is gonna be like you gotta promise you won't expose me ,1	nextyearbitchesisgonnabelikeyougottipromiseyouwontexposeme	_	!	!	_	0	_	_	_
1, right in the pussy,1	rightinthepussy	_	!	!	_	0	_	_	_
-1,"  to the rejects who constantly call my house and are threatening to rape my mom, karma's a bitch. rot in hell, faggots.",1	totherejectswhoconstantlycallmyhouseandarethreateningtorapemymomkarmaabitchrotinhellfaggots	_	^	^	_	-1	_	_	_
-1,  ur fucking white trash,1	urfuckingwhitetrash	_	!	!	_	0	_	_	_
-1, nah dude mostly just sound like a faggot,1	nahdudemostlyjustsoundlikeafaggot	_	!	!	_	0	_	_	_
1,  bitch i want it all,1	bitchiwantitall	_	!	!	_	0	_	_	_
-1, you aint special niglet   when i'm chilling wit greg ppl walk up to me to ask me to take picshatin,1	youpaintspecialpigletwhenimchillingwitgregpplwalkuptometoaskmetotakepicshatin	_	!	!	_	0	_	_	_
1,this hair screams bitch,1	thishairscreamsbitch	_	!	!	_	0	_	_	_
1,"  get to bed, bitches, and only dream happy dreams.",1	gettobedbitchesandonlydreamhappydreams	_	^	^	_	-1	_	_	_
-1,diversity: chcgo blck pstr flooded w/ dth threats ovr endorsement of gop candidate: u sellout uncle tom ass n*gger ,1	diversitychicagobackpstfloodedweththreatsorendorsementofgopcandidateuselloutuncletomassnigger	_	!	!	_	0	_	_	_
-1,  automatically suspicious of white folk who try too hard to show they like us darkies.,1	automaticallysuspiciousofwhitefolkwhotrytoohardtoshowtheylikeusdarkness	_	N	N	_	0	_	_	_
-1,every spic cop should be killed. those pigs only got their job to 'get even' but white people never did anything to them.,1	everyspiccopshouldbekilledthosepigsonlygottheirjobtogetevenbutwhitepeopleneverdidanythingtothem	_	!	!	_	0	_	_	_
-1,"jason admitted you're a stuck up bitch lol, which you are. think you're so much better than everycunt, naaaaa","1	jasonadmittedyoureastuckupbitchlolwhichyouarethinkyouresomuchbetterthaneverycunt	_	!	!	_	0	_	_	_
2	,	_	,	,	_	-1	_	_	_
3	aaaaa	_	!	!	_	0	_	_	_"
1,3-0-0 bitches fuck wid me,1	300bitchesfuckdidme	_	!	!	_	0	_	_	_
1,    top notch bitches,1	topnotchbitches	_	N	N	_	0	_	_	_
-1, suck my dick tacos el negro better,1	suckmydicktacoselnegrobetter	_	G	G	_	-1	_	_	_
-1, fag,1	fag	_	N	N	_	0	_	_	_
-1,    go back to lego club faggot,1	gobacktolegoclubfaggot	_	!	!	_	0	_	_	_
1,"dress shirt, saggy jeans, backwards yankee hat now that's lifting swag",1	dressshirtsaggyjeansbackwardsyankeehatnowthatsliftingswag	_	!	!	_	0	_	_	_
-1, be gone my nigguh,1	begonemynigger	_	^	^	_	-1	_	_	_
1,  the best way to avoid a tsunami of extramarital pussy is to wear sneakers on your daily commute. also using the word sneake,1	thebestwaytoavoidatsunamiofextramaritalpussyistowearsneakersonyourdailycommutealsousingthewordsnake	_	^	^	_	-1	_	_	_
1,don't try and pull that fake friend shit on me bitch.,1	donuttryandpullthatfakefriendshitonmebitch	_	!	!	_	0	_	_	_
-1,hey go look at that video of the man that found the kidnapped girls in ohio........what a nigger - shitmybosssays,"1	heygolookatthatvideoofthemanthatfoundthekidnappedgirlsinohio	_	!	!	_	0	_	_	_
2	........	_	,	,	_	-1	_	_	_
3	whataniggerpshitmybosssays	_	O	O	_	0	_	_	_"
-1,    my nig,1	mybig	_	!	!	_	0	_	_	_
-1, stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,1	staytalkingdefendingyourfuckboyassboyfriendorwhatgosuckhimoffwhileyoureatitfaggot	_	!	!	_	0	_	_	_
-1,can't take u coons nowhere ; i mean nowhere,1	canttakeucoonsnowherepimeannowhere	_	!	!	_	0	_	_	_
-1, that's not even a real word must have hit a blunt and started making up shit with your nigger ass lol,1	thatsnotevenarealwordmusthavehitabluntandstartedmakingupshitwithyourniggerasslol	_	N	N	_	0	_	_	_
-1,"we hate niggers, we hate faggots and we hate spics-kkk rally",1	wehateniggerswehatefaggotsandwehatespics-kkkrally	_	!	!	_	0	_	_	_
-1,   cracker jack shut the fuck up,1	crackerjackshutthefuckup	_	!	!	_	0	_	_	_
-1,you ol trout mouth ass bitch deeeeaaaadd,1	youoltroutmouthassbitchdeeeeaaaadd	_	!	!	_	0	_	_	_
1,if you ask me every bitch gay,1	ifyouaskmeeverybitchgay	_	!	!	_	0	_	_	_
1,lakers are a purple and yellow garbage can,1	lakersareapurpleandyellowgarbagecan	_	!	!	_	0	_	_	_
-1,thingsiwillteachmychild how to play deez niggas n bitches dat be snakes,1	thingsiwillteachmychildhowtoplaydeepnigganbitchesdatbesnakes	_	N	N	_	0	_	_	_
1,  wassup pussy,1	warmuppussy	_	!	!	_	0	_	_	_
1,the bitch who just rolled her eyes at me bc she didn't get tipped doesn't listen when u ask for sweet potato fries instead of regular,1	thebitchwhojustrolledhereyesatmebcshedidntgettippeddoesntlistenwhenuaskforsweetpotatofriesinsteadofregular	_	G	G	_	-1	_	_	_
-1, the youre going 2have 2 kill crackers ; their babies new black panthers credibilityshot fergusonriot justice4mikebrown,1	theyouregoinghave2killcrackersptheirbabiesnewblackpantherscredibilityshotfergusonriotjustice4mikebrown	_	$	$	_	-1	_	_	_
1,  9 times outta 10 a bitch gonna know if she a hoe or not,1	9timesoutta10abitchgonnaknowifsheahoeornot	_	!	!	_	0	_	_	_
1,  main reason why i aint got no girl cause i aint never found not 1 bitch who tryna get money wit me all y'all hoes like,1	mainreasonwhyipaintgotnogirlcauseipaintneverfoundnot1bitchwhotrnagetmoneywitmeallyallhoeslike	_	!	!	_	0	_	_	_
-1,"playing to white guilt lasted one last time, whitey felt 'absolved', it ends today. it ends in the fields/suburbs of pennsylvania.","1	playingtowhiteguiltlastedonelasttimewhiteyfelt'absolved	_	V	V	_	0	_	_	_
2	'	_	,	,	_	-1	_	_	_
3	,	_	,	,	_	-1	_	_	_
4	itendstodayitendsinthefields/suburbsofpennsylvania	_	L	L	_	0	_	_	_"
-1,i hate the ghetto trash at the special school across the street from my building. all of them will grow up to be criminals.,1	ihatetheghettotrashatthespecialschoolacrossthestreetfrommybuildingallofthemwillgrowuptobecriminals	_	L	L	_	0	_	_	_
-1,    if you aint bout that murder game pussy nigga shut up 252 gang ,1	ifyoupaintboutthatmurdergamepussyniggashutup252gang	_	!	!	_	0	_	_	_
-1,"  1, 2, 3, 4, how many niggers are in my store? i knowwww you're stealing ",1	1234howmanyniggersareinmystoreiknowhowyourestealing	_	$	$	_	-1	_	_	_
-1,"can't stand that asian dude just now, faggot gives me attitude cause i almost forgot my water, fuck u faggot if i wasn't on stage",1	cantstandthatasiandudejustnowfaggotgivesmeattitudecauseialmostforgotmywaterfuckufaggotifiwasntonstage	_	!	!	_	0	_	_	_
1,i miss my flip phone .. that bitch never died,1	imissmyflipphonetothatbitchneverdied	_	L	L	_	0	_	_	_
-1,"   the nig is fun to watch got to admit, ebola boy can speak broken spanish too lol",1	thebigisfuntowatchgottoadmitebolaboycanspeakbrokenspanishtoolol	_	!	!	_	0	_	_	_
1,  cheating and having hoes gets old. everyone should want to reach a point where they're mature enough to stay faithful ;,1	cheatingandhavinghoesgetsoldeveryoneshouldwanttoreachapointwheretheyrematureenoughtostayfaithfulp	_	!	!	_	0	_	_	_
1,"first thing she wit ya, next minute she against ya, like that hoe from the clippers",1	firstthingshewityanextminutesheagainstyalikethathoefromtheclippers	_	^	^	_	-1	_	_	_
-1, fucking coon,1	fuckingcoon	_	!	!	_	0	_	_	_
1,just seen the baddest bitch in tower city... my heart just got warm ,"1	justseenthebaddestbitchintowercity	_	G	G	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	myheartjustgotwarm	_	!	!	_	0	_	_	_"
-1, tea bag a bitch. pahahaha,1	teabagabitchhahahaha	_	!	!	_	0	_	_	_
1,  a side bitch made this  ,1	asidebitchmadethis	_	G	G	_	-1	_	_	_
1,"fight night tonight, go cotto. smack that pompous cunt down in front of millions. mayweathercotto",1	fightnighttonightgocottonsmackthatpompouscuntdowninfrontofmillionsmayweathercotto	_	!	!	_	0	_	_	_
1,  this bitch on maury a thug,1	thisbitchonmauryathug	_	!	!	_	0	_	_	_
-1,man i swear today's like nation hit tony while he's driving day.... this chink almost smashed into me...,"1	manisweartodayslikenationhittonywhilehersdrivingday	_	^	^	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	thischinkalmostsmashedintome	_	G	G	_	-1	_	_	_
4	...	_	~	~	_	-1	_	_	_"
-1, i'm surprised you could read it with slits for eyes,1	imsurprisedyoucouldreaditwithslitsforeyes	_	L	L	_	0	_	_	_
-1,  me then faggot,1	methenfaggot	_	!	!	_	0	_	_	_
1," keep talking i'm going to make when u can't talk, u going to be talking like a retard",1	keeptalkingimgoingtomakewhenucanttalkugoingtobetalkinglikearetard	_	!	!	_	0	_	_	_
1, ok you billy goat hair hillbilly,1	okyoubillygoathairhillbilly	_	!	!	_	0	_	_	_
1,   only bitch round here is the one im tweetn ,1	onlybitchroundhereistheoneimtweet	_	!	!	_	0	_	_	_
1,what these bitches want from a nicca .. ,1	whatthesebitcheswantfromanicato	_	!	!	_	0	_	_	_
-1,bumped into a bitch that filed for sexual harassment at work against a co-worker...i aint been so shook in my life,"1	bumpedintoabitchthatfiledforsexualharassmentatworkagainstaco-worker	_	N	N	_	0	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	ipaintbeensoshookinmylife	_	L	L	_	0	_	_	_"
-1, julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining,"1	julietellthemcrybabyblackstogetsomeoneblkanddressthemupwhitefaced	_	^	^	_	3	_	_	_
2	......	_	,	,	_	-1	_	_	_
3	niggersalwayswhining	_	V	V	_	0	_	_	_"
-1, fucking block your white ass because you try to start shit like a fucking queer so fuck you nigga,1	fuckingblockyourwhiteassbecauseyoutrytostartshitlikeafuckingqueersofuckyounigga	_	!	!	_	0	_	_	_
-1,  no ur wrong stupid nigger,1	nourwrongstupidnigger	_	!	!	_	0	_	_	_
-1, idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?,1	idkyouintomouthyspiceonwelfarewith6kidsand3babydaddys	_	L	L	_	0	_	_	_
-1,  anybody who trashes their own neighborhood after a perceived injustice is a fucking moron. ferguson,1	anybodywhotrashestheirownneighborhoodafteraperceivedinjusticeisafuckingmoronferguson	_	!	!	_	0	_	_	_
1,  a marry between a man and woman people sloppery slop;then what is prevent a bird from marriage my sandwich??? i'm in lo,"1	amarrybetweenamanandwomanpeopleslipperyslop	_	^	^	_	0	_	_	_
2	;	_	,	,	_	-1	_	_	_
3	thenwhatispreventabirdfrommarriagemysandwich	_	G	G	_	-1	_	_	_
4	???	_	,	,	_	-1	_	_	_
5	iminlo	_	L	L	_	0	_	_	_"
1,photo: no filtering bitches.  turntup webad wepretty gayvegas rupaulsdragrace barb minaj... ,"1	photonofilteringbitchesturnoutweadprettygayvegasrupaulsdragracebarbminaj	_	G	G	_	-1	_	_	_
2	...	_	~	~	_	-1	_	_	_"
-1,  fucking james tried to tell me jawga boys sucked. i went ape shit dude   ,1	fuckingjamestriedtotellmejawboyssuckediwentapeshitdude	_	!	!	_	0	_	_	_
1,thank you charlie      ,1	thankyoucharlie	_	N	N	_	0	_	_	_
1,   bitch shutup,1	bitchshut	_	!	!	_	0	_	_	_
-1,  hey aklve im taking out the black ghetto trash. youre blocked nigger,1	heyableimtakingouttheblackghettotrashyoureblockednigger	_	!	!	_	0	_	_	_
1,i know bitches be mad as shit when they friends borrow their clothes ; its a bunch of girls in her ig comments sayin how cute the outfit is,1	iknowbitchesbemadasshitwhentheyfriendsborrowtheirclothespitsabunchofgirlsinherigcommentssayinhowcutetheoutfitis	_	L	L	_	0	_	_	_
1,  nun of ya bidness bitch,1	nunofyabidnessbitch	_	!	!	_	0	_	_	_
-1,"dear utah polynesians: again, stop acting black and speaking ghetto. speak fob, you ain't no ghetto niggaz.",1	dearutahpolynesiansagainstopactingblackandspeakingghettospeakfobyoupaintnoghettonigga	_	!	!	_	0	_	_	_
-1, those little isis faggots usually have bags over their heads anyway. makes bullet placement interesting thru a scope.,1	thoselittleisisfaggotsusuallyhavebagsovertheirheadsanywaymakesbulletplacementinterestingthruascope	_	^	^	_	-1	_	_	_
1,     how the bitch ear get burnt?,1	howthebitcheargetburnt	_	!	!	_	0	_	_	_
-1," so ur faggot teammate  hits someone late like that and u say he's yapping and yelling, u guys def 69 in the room",1	sourfaggotteammatehitssomeonelatelikethatandusayhersyappingandyellinguguysdef69intheroom	_	$	$	_	-1	_	_	_
-1, alright fag,1	alrightfag	_	!	!	_	0	_	_	_
1,"green beans, summer yellow squash, zucchini, cucumber i will set some more out by the road today its free.",1	greenbeanssummeryellowsquashzucchinicucumberiwillsetsomemoreoutbytheroadtodayitsfree	_	!	!	_	0	_	_	_
-1,fuck u niggas gonna do not a mfka thing oh bitch ass wack ass nigga y'all some fake ass people,1	fuckuniggagonnadonotamikathingohbitchassbackassniggayallsomefakeasspeople	_	!	!	_	0	_	_	_
1,me n niccas ya type neva exchange 's .. wanna talk down n still gain from us,1	menniclasyatypenevaexchangeistowannatalkdownnstillgainfromus	_	!	!	_	0	_	_	_
1,you a hoe if u eat candy corn,1	youahoeifueatcandycorn	_	!	!	_	0	_	_	_
-1," yes now get off twitter, you lame negros should have never learned how to use the internet",1	yesnowgetofftwitteryoulamenegrosshouldhaveneverlearnedhowtousetheinternet	_	!	!	_	0	_	_	_
1, no wonder you run nose first for yo real nigger ; white devil massah's or any man pointing at another to convince u he is less,1	nowonderyourunnosefirstforyorealniggerpwhitedevilmassagesoranymanpointingatanothertoconvinceuheisless	_	!	!	_	0	_	_	_
1, fuckin hot gym pussy  fuck yeah,1	fuckinhotgympussyfuckyeah	_	!	!	_	0	_	_	_
-1, lmfaoooo i hate black people  this is why there's black people and niggers,1	lmfaooooihateblackpeoplethisiswhytheresblackpeopleandniggers	_	^	^	_	-1	_	_	_
1,i l8v3 fuckin wit this nigga he getting all emotional he remind me of my bitch is that you blake (50 ,1	ilovefuckinwitthisniggahegettingallemotionalheremindmeofmybitchisthatyoublake50	_	$	$	_	-1	_	_	_
1,  lmao these niggas act like lil bitches,1	lmaotheseniggaactlikelilbitches	_	!	!	_	0	_	_	_
-1, legit retard,1	legitretard	_	!	!	_	0	_	_	_
1,escort missions in games are universally trash,1	escortmissionsingamesareuniversallytrash	_	!	!	_	0	_	_	_
1, these bitches love sosa,1	thesebitcheslovesosa	_	!	!	_	0	_	_	_
-1,"obamas faves: muslims, black ghetto trash  via ",1	obamasfavesmuslimsblackghettotrashvia	_	!	!	_	0	_	_	_
1,"  for the last time, the captain takes the field at yankee stadium. ",1	forthelasttimethecaptaintakesthefieldatyankeestadium	_	!	!	_	0	_	_	_
1," lmaooo djs stranger danger, im just a coon.",1	lmaodjsstrangerdangerimjustacoon	_	!	!	_	0	_	_	_
-1,"  ...wow?   whatever fuck all those assholes. they're niggers, they all look alike to me.","1	...	_	~	~	_	-1	_	_	_
2	wow	_	!	!	_	0	_	_	_
3	?	_	,	,	_	-1	_	_	_
4	whateverfuckallthoseassholestheyreniggerstheyalllookaliketome	_	G	G	_	-1	_	_	_"
-1,no these are only whites pies.well do you have any negro pies?,"1	notheseareonlywhitespies	_	N	N	_	0	_	_	_
2	.	_	,	,	_	-1	_	_	_
3	welldoyouhaveanynegropies	_	G	G	_	-1	_	_	_"
1,both y'all pussy son beat it ,1	bothyallpussysonbeatit	_	!	!	_	0	_	_	_
-1,  3 most common white people activities:1. wearing tapout2. shooting up schools3. calling you a nigger on xbox,"1	3mostcommonwhitepeopleactivities	_	^	^	_	0	_	_	_
2	:	_	,	,	_	-1	_	_	_
3	1	_	$	$	_	1	MWE	_	_
4	.	_	,	,	_	-1	_	_	_
5	wearingtapoutshootingupschoolscallingyouaniggeronxbox	_	G	G	_	-1	_	_	_"
1,"porn,android,iphone,ipad,sex,xxx, | desi | paki ","1	porn	_	N	N	_	0	_	_	_
2	,	_	,	,	_	-1	_	_	_
3	android	_	^	^	_	0	_	_	_
4	,	_	,	,	_	-1	_	_	_
5	iphone	_	^	^	_	7	MWE	_	_
6	,	_	,	,	_	-1	_	_	_
7	ipad	_	^	^	_	9	_	_	_
8	,	_	,	,	_	-1	_	_	_
9	sex	_	N	N	_	3	_	_	_
10	,	_	,	,	_	-1	_	_	_
11	xxx	_	E	E	_	-1	_	_	_
12	,	_	,	,	_	-1	_	_	_
13	pdesippaki	_	^	^	_	0	_	_	_"
-1,  your a fag,1	yourafag	_	!	!	_	0	_	_	_
1,if you say anything about me i'll knock ur boyfriend out. go for it bitch. your boyfriend is a pubeless runt.,1	ifyousayanythingaboutmeillknockurboyfriendoutgoforitbitchyourboyfriendisauselessrunts	_	L	L	_	0	_	_	_
1,  nah go talk to ur hoes since u dont wanna text back n shit ,1	nahgotalktourhoessinceudontwannatextbacknshit	_	!	!	_	0	_	_	_
-1,  wow the stupid nigger in lebron really came out there,1	wowthestupidniggerinlebronreallycameoutthere	_	!	!	_	0	_	_	_
1,  don't beef over no bitch..,1	donutbeefovernobitch	_	!	!	_	0	_	_	_
-1,somethingigetalot are you... asian? black? hawaiian? gay? retarded? drunk?,"1	somethingigetalotareyou	_	G	G	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	asianblackhawaiiangayretardeddrunk	_	!	!	_	0	_	_	_"
-1, hell naw he ain't he the star of that team lol but i'm sure that white honkey called him a nigga,1	hellnawhepainthethestarofthatteamlolbutimsurethatwhitehonkeycalledhimanigga	_	!	!	_	0	_	_	_
1,  endoftheworldconfessions i follow all of these retards on twitter because they're all a bunch of morons ; i need g ...,"1	endoftheworldconfessionsifollowalloftheseretardsontwitterbecausetheyreallabunchofmoronspineedg	_	G	G	_	-1	_	_	_
2	...	_	~	~	_	-1	_	_	_"
-1,  fags,1	fags	_	N	N	_	0	_	_	_
-1,i need to chat with  . where dat nicca at? lol,1	ineedtochatwithpwheredatnicaatlol	_	!	!	_	0	_	_	_
-1," naw dude i wish, they're white trash",1	nawdudeiwishtheyrewhitetrash	_	!	!	_	0	_	_	_
-1,  fuck michelle obama. that monkey doesnt belong in the white house,1	fuckmichelleobamathatmonkeydoesntbelonginthewhitehouse	_	!	!	_	0	_	_	_
